SUB ACCOUNT,DATE,CHECK#,TRANSACTION NAME,WITHDRAW,DEPOSIT,BALANCE,MEMO
"principalAcct","26/06/20",,"start",,"£300.00","£300.00",
"principalAcct","02/12/21",,"1st","£4.00",,"£296.00","xx"
"principalAcct","03/12/21",,"3","£4.00",,"£292.00","xx"
"principalAcct","15/12/21",,"magma","£13.00",,"£279.00","xxx"
"principalAcct","15/12/21",,"tez file","£20.00",,"£259.00","xx"
"principalAcct","22/12/21",,"saved","£59.00",,"£200.00",
"principalAcct","22/12/21",,"22nd","£4.00",,"£196.00","xx"
"principalAcct","22/12/21",,"22nd","£18.00",,"£178.00","xx"
"principalAcct","26/12/21",,"26","£4.00",,"£174.00","xx"
"principalAcct","27/12/21",,"27","£4.00",,"£170.00","xx"
"principalAcct","28/12/21",,"28","£4.00",,"£166.00","xx"
"principalAcct","29/12/21",,"waterstones","£20.00",,"£146.00","xx"
"principalAcct","29/12/21",,"29th","£4.00",,"£142.00","xx"
